Invoice,Sold to Party,Sold to Party Name,Sales Org
50123900303,1733048,HYPE 6588,A20
50124186395,1053549,GE V 8549,A20
50124289134,1220166,INTU 0166,A20
50124356517,1053549,GE V 8549,A20
50124397203,1053549,GE V 8549,A20
50124419492,1053549,GE V 8549,A20
50124431414,1053549,GE V 8549,A20
50124449222,1053549,GE V 8549,A20
50124488601,1053549,GE V 8549,A20
50124505800,1053549,GE V 8549,A20
50124559387,1053549,GE V 8549,A20
50124598749,1053549,GE V 8549,A20
50124661799,1053549,GE V 8549,A20
50124761243,1053549,GE V 8549,A20
50124820761,1733102,SCHL 5161,A20
50124825491,1733201,SCHL 5055,A20
50124825492,1733201,SCHL 5055,A20
50124828672,1417746,IBM  7746,A10
50124828673,1417746,IBM  7746,A10
50124829534,1733212,SCHL 5039,A20
50124832154,1733212,SCHL 5039,A20
50124833073,1733102,SCHL 5161,A20
50124834152,1733102,SCHL 5161,A20
50124842170,1733102,SCHL 5161,A20
50124842173,1733102,SCHL 5161,A20
50124846731,1733102,SCHL 5161,A20
50124846737,1733102,SCHL 5161,A20
50124846908,1733102,SCHL 5161,A20
50124846910,1733102,SCHL 5161,A20
50124849166,1417746,IBM  7746,A10
50124849167,1417746,IBM  7746,A10
50124858623,1733102,SCHL 5161,A20
50124861783,1733215,SIEM 0766,A20
50124862481,1733212,SCHL 5039,A20
50124864516,1417746,IBM  7746,A10
50124866005,1733212,SCHL 5039,A20
50124866960,1733102,SCHL 5161,A20
50124866962,1733102,SCHL 5161,A20
50124868704,1733215,SIEM 0766,A20
50124869749,1417746,IBM  7746,A10
50124869750,1417746,IBM  7746,A10
50124869779,1733289,UNIV 0114,A20
50124869982,1733048,HYPE 6588,A20
50124870749,1176121,BAKE 5121,A20
50124870885,1733201,SCHL 5055,A20
50124871792,1733212,SCHL 5039,A20
50124872790,1733333,UNIO 7575,A20
50124877039,1417746,IBM  7746,A10
50124877041,1417746,IBM  7746,A10
50124878492,1733048,HYPE 6588,A20
50124880591,1733048,HYPE 6588,A20
50124881090,1733102,SCHL 5161,A20
50124882946,1176121,BAKE 5121,A20
50124882973,1733048,HYPE 6588,A20
50124884348,1733102,SCHL 5161,A20
50124889315,1733215,SIEM 0766,A20
50124889840,1053549,GE V 8549,A20
50124890353,1733102,SCHL 5161,A20
50124890361,1733212,SCHL 5039,A20
50124891581,1417746,IBM  7746,A10
50124892660,1733212,SCHL 5039,A20
50124894333,1733289,UNIV 0114,A20
50124894841,1733048,HYPE 6588,A20
50124895713,1053549,GE V 8549,A20
50124899222,1733048,HYPE 6588,A20
50124899252,1733102,SCHL 5161,A20
50124903679,1733201,SCHL 5055,A20
50124906983,1176121,BAKE 5121,A20
50124913811,1733048,HYPE 6588,A20
50124913815,1733048,HYPE 6588,A20
50124915170,1733212,SCHL 5039,A20
50124916266,1176121,BAKE 5121,A20
50124916271,1176121,BAKE 5121,A20
50124920733,1733212,SCHL 5039,A20
50124926227,1176121,BAKE 5121,A20
50124930567,1733212,SCHL 5039,A20
50124930573,1733212,SCHL 5039,A20
50124930578,1176121,BAKE 5121,A20
50124930581,1176121,BAKE 5121,A20
50124932268,1733289,UNIV 0114,A20
50124932521,1176121,BAKE 5121,A20
50124935064,1733378,Inno 7355,A20
50124935161,1733378,Inno 7355,A20
50124935165,1733378,Inno 7355,A20
50124935168,1733378,Inno 7355,A20
50124937711,1733212,SCHL 5039,A20
50124939008,1733212,SCHL 5039,A20
50124947570,1733378,Inno 7355,A20
50124949145,1733212,SCHL 5039,A20
50124951821,1733102,SCHL 5161,A20
50124957924,1733048,HYPE 6588,A20
50124958025,1176121,BAKE 5121,A20
50124960460,1176121,BAKE 5121,A20
50124960465,1176121,BAKE 5121,A20
50124960468,1176121,BAKE 5121,A20
50124960473,1733102,SCHL 5161,A20
50124968965,1176121,BAKE 5121,A20
50124970519,1733048,HYPE 6588,A20
50124974888,1733102,SCHL 5161,A20
50124976553,1733422,TEXA 2921,A20
50124980914,1176121,BAKE 5121,A20
50124983917,1733212,SCHL 5039,A20
50124984641,1733212,SCHL 5039,A20
50124984644,1733212,SCHL 5039,A20
50124984659,1733048,HYPE 6588,A20
50124986602,1733048,HYPE 6588,A20
50124990282,1733048,HYPE 6588,A20
50124991316,1176121,BAKE 5121,A20
50124995858,1733048,HYPE 6588,A20
50124999155,1176121,BAKE 5121,A20
50125002425,1733466,AMAZ 7577,A20
50125005714,1176121,BAKE 5121,A20
50125007670,1733102,SCHL 5161,A20
50125009372,1733378,Inno 7355,A20
50125009554,1733102,SCHL 5161,A20
50125015451,1733215,SIEM 0766,A20
50125023429,1733048,HYPE 6588,A20
50125025125,1733048,HYPE 6588,A20
50125025923,1733212,SCHL 5039,A20
50125026985,1176121,BAKE 5121,A20
50125038394,1733102,SCHL 5161,A20
50125040895,1297839,LUME 7839,A10
50125040943,1733212,SCHL 5039,A20
50125043683,1733511,TEXA 3018,A20
50125044488,1733102,SCHL 5161,A20
50125045246,1733102,SCHL 5161,A20
50125055765,1733102,SCHL 5161,A20
50125055767,1733102,SCHL 5161,A20
50125055881,1733201,SCHL 5055,A20
50125057321,1733212,SCHL 5039,A20
50125060856,1176121,BAKE 5121,A20
50125063800,1297839,LUME 7839,A10
50125064762,1733212,SCHL 5039,A20
50125071797,1733378,Inno 7355,A20
50125071923,1176121,BAKE 5121,A20
50125077428,1733555,CHAR 4142,A20
50125078084,1733212,SCHL 5039,A20
50125078828,1733422,TEXA 2921,A20
50125083518,1176121,BAKE 5121,A20
50125087582,1297839,LUME 7839,A10
50125088448,1733048,HYPE 6588,A20
50125089972,1733212,SCHL 5039,A20
50125094046,1733212,SCHL 5039,A20
50125094050,1733212,SCHL 5039,A20
50125094053,1733212,SCHL 5039,A20
50125094055,1733212,SCHL 5039,A20
50125099661,1733215,SIEM 0766,A20
50125099663,1733215,SIEM 0766,A20
50125103963,1733511,TEXA 3018,A20
50125104025,1733212,SCHL 5039,A20
50125104027,1733212,SCHL 5039,A20
50125105633,1176121,BAKE 5121,A20
50125106410,1733215,SIEM 0766,A20
50125106542,1733102,SCHL 5161,A20
50125106543,1733102,SCHL 5161,A20
50125106707,1733215,SIEM 0766,A20
50125109427,1733212,SCHL 5039,A20
50125110610,1733102,SCHL 5161,A20
50125111376,1733048,HYPE 6588,A20
50125112689,1733048,HYPE 6588,A20
50125117073,1049716,FORD 5716,A20
50125119225,1733102,SCHL 5161,A20
50125120665,1733212,SCHL 5039,A20
50125123479,1053549,GE V 8549,A20
50125124023,1733048,HYPE 6588,A20
50125124069,1176121,BAKE 5121,A20
50125126048,1733215,SIEM 0766,A20
50125126817,1733422,TEXA 2921,A20
50125128471,1297839,LUME 7839,A10
50125128707,1733102,SCHL 5161,A20
50125130423,1733102,SCHL 5161,A20
50125132861,1049716,FORD 5716,A20
50125138783,1176121,BAKE 5121,A20
50125139380,1733212,SCHL 5039,A20
50125140309,1733212,SCHL 5039,A20
50125150709,1733102,SCHL 5161,A20
50125151122,1733215,SIEM 0766,A20
50125151123,1733215,SIEM 0766,A20
50125151124,1733215,SIEM 0766,A20
50125153528,1733102,SCHL 5161,A20
50125153894,1733102,SCHL 5161,A20
50125153898,1733102,SCHL 5161,A20
50125153901,1733102,SCHL 5161,A20
50125154348,1733212,SCHL 5039,A20
50125154440,1733215,SIEM 0766,A20
50125162159,1733048,HYPE 6588,A20
50125163733,1297839,LUME 7839,A10
50125165132,1733600,JABI 4501,A20
50125165134,1733600,JABI 4501,A20
50125165803,1733102,SCHL 5161,A20
50125165846,1733600,JABI 4501,A20
50125165848,1733600,JABI 4501,A20
