Invoice,PO No.,Inv. Date,Total Invoice
50123900303,PO13897540,3/24/2023,"$113,619.99 "
50124186395,PO17042852,6/16/2023,"$1,080.65 "
50124289134,PO17117550,7/20/2023,$446.49 
50124356517,PO17240797,8/8/2023,"$2,496.00 "
50124397203,PO17111548,8/21/2023,$800.00 
50124419492,PO16685661,8/25/2023,"$5,927.79 "
50124431414,PO17264159,8/30/2023,"$2,269.41 "
50124449222,PO17264064,9/5/2023,"$8,197.20 "
50124488601,PO17261839,9/18/2023,"$11,960.00 "
50124505800,PO17163590,9/21/2023,$370.00 
50124559387,PO17295810,10/7/2023,$340.00 
50124598749,PO17323491,10/19/2023,"$12,210.00 "
50124661799,PO17262631,11/8/2023,"$8,197.20 "
50124761243,PO17260574,12/18/2023,"$10,260.00 "
50124820761,PO17090333,1/5/2024,"$3,254.40 "
50124825491,PO16760739,1/4/2024,$67.79 
50124825492,PO17043110,1/4/2024,"$12,970.80 "
50124828672,PO17315708,1/5/2024,$19.43 
50124828673,PO17315712,1/5/2024,$40.24 
50124829534,PO17223293,1/5/2024,"$1,055.34 "
50124832154,PO17350498,1/8/2024,"$1,865.92 "
50124833073,PO17091335,1/8/2024,"$16,272.00 "
50124834152,PO16856085,1/9/2024,$455.20 
50124842170,PO16874200,1/11/2024,"$3,860.64 "
50124842173,PO17003007,1/11/2024,$911.40 
50124846731,PO17094206,1/11/2024,$813.60 
50124846737,PO16976901,1/11/2024,"$25,368.23 "
50124846908,PO16914201,1/11/2024,$271.00 
50124846910,PO17306920,1/11/2024,$760.00 
50124849166,PO17152092,1/11/2024,$53.46 
50124849167,PO17172093,1/11/2024,$19.43 
50124858623,PO17319584,1/16/2024,$3.77 
50124861783,PO17384940,1/16/2024,$72.65 
50124862481,PO17130251,1/19/2024,"$3,565.00 "
50124864516,PO17317099,1/16/2024,$19.55 
50124866005,PO16519757,1/18/2024,$231.27 
50124866960,PO17154229,1/17/2024,$499.00 
50124866962,PO17354642,1/17/2024,$278.98 
50124868704,PO17257286,1/24/2024,"$3,818.85 "
50124869749,PO17334188,1/22/2024,$339.12 
50124869750,PO17336570,1/22/2024,$107.85 
50124869779,PO17357774,1/23/2024,"$8,794.53 "
50124869982,PO17295967,1/18/2024,$50.00 
50124870749,PO17037513,1/23/2024,"$8,643.78 "
